ФИО;Группа;Период;Должность;Площадка;КЦ_Другое_отсутсвие;Запланированное время;Ready;Больничный;Adherence
Владимиров Алексей Леонидович;Группа 5;9/1/22;Специалист по обслуживанию ключевых клиентов;Вологда;0;61;54,9;0;0,65
Исаев Мина Игоревич;Группа 5;9/1/22;Специалист;Вологда;0;96;86,4;0;0,55
Ширяев Архипп Георгиевич;Группа 24;9/1/22;Специалист;Кемерово;0;68;61,2;0;0,98
Баранов Варфоломей Филиппович;Группа 22;9/1/22;Младший специалист;Пенза;51;157;106;0;0,65
Ширяев Савелий Станиславович;Группа 3;9/1/22;Специалист по обслуживанию ключевых клиентов;Вологда;0;161;109;48;0,85
Потапов Варсонофий Егорович;Группа 34;9/1/22;Младший специалист;Чита;0;180;98;0;0,90
Носков Алексей Федорович;Группа 9;9/1/22;Младший специалист;Брянск;59;127;27;41;0,96
Михайлов Николай Витальевич;Группа 1;9/1/22;Специалист по обслуживанию ключевых клиентов;Вологда;0;139;125,1;0;0,71
Жуков Агапит Сергеевич;Группа 33;9/1/22;Специалист по обслуживанию ключевых клиентов;Чита;0;84;75,6;0;0,72
Кириллов Митрофан Тарасович;Группа 2;9/1/22;Младший специалист;Вологда;0;42;33;0;0,71
Анисимов Борис Ильич;Группа 35;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;118;21;0;0,65
Исаков Варфоломей Иваныч;Группа 23;9/1/22;Младший специалист;Пенза;0;50;45;0;0,68
Овчинников Константин Николаевич;Группа 4;9/1/22;Специалист по обслуживанию ключевых клиентов;Вологда;44;126;82;0;0,55
Комаров Мелентий Александрович;Группа 17;9/1/22;Специалист по обслуживанию ключевых клиентов;Пенза;0;168;87;0;0,66
Козлов Евсей Филиппович;Группа 34;9/1/22;Специалист по обслуживанию ключевых клиентов;Чита;0;91;68;0;0,59
Тимофеев Мстислав Геннадиевич;Группа 20;9/1/22;Специалист;Пенза;0;105;79;0;0,74
Ефимов Георгий Яковлевич;Группа 35;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;69;62,1;0;0,53
Меркушев Магистриан Викторович;Группа 13;9/1/22;Специалист;Ростов;0;76;11;42;0,62
Гурьев Георгий Романович;Группа 3;9/1/22;Специалист;Вологда;0;173;12;0;0,61
Логинов Еремей Бедросович;Группа 34;9/1/22;Специалист;Чита;0;105;20;0;0,97
Савин Авксентий Иваныч;Группа 4;9/1/22;Младший специалист;Вологда;0;44;39,6;0;0,92
Блохин Богдан Данилович;Группа 22;9/1/22;Специалист;Пенза;0;30;24;0;0,83
Евсеев Ефрем Леонидович;Группа 34;9/1/22;Младший специалист;Чита;0;81;72,9;0;0,88
Орлов Тарас Леонидович;Группа 30;9/1/22;Специалист;Чита;0;182;57;0;0,86
Шилов Разумник Андреевич;Группа 12;9/1/22;Специалист по обслуживанию ключевых клиентов;Ростов;0;31;27,9;0;0,54
Авдеев Демьян Северинович;Группа 24;9/1/22;Младший специалист;Кемерово;0;34;30,6;0;0,64
Власов Ираклий Вольфович;Группа 1;9/1/22;Специалист;Вологда;0;78;17;48;0,89
Самойлов Архипп Кириллович;Группа 14;9/1/22;Младший специалист;Ростов;0;80;48;32;0,83
Князев Софрон Робертович;Группа 6;9/1/22;Младший специалист;Брянск;0;110;42;57;0,87
Кириллов Пётр Яковлевич;Группа 1;9/1/22;Специалист;Вологда;0;43;38,7;0;0,78
Гурьев Мирослав Тарасович;Группа 30;9/1/22;Младший специалист;Чита;0;167;76;0;0,56
Константинов Паисий Робертович;Группа 34;9/1/22;Специалист;Чита;0;174;57;0;0,99
Макаров Никон Кириллович;Группа 35;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;79;60;19;0,62
Богданов Хрисанф Яковлевич;Группа 34;9/1/22;Младший специалист;Чита;36;82;46;0;0,64
Максимов Филипп Викторович;Группа 6;9/1/22;Младший специалист;Брянск;0;139;113;0;0,53
Галкин Лаврентий Григорьевич;Группа 14;9/1/22;Специалист по обслуживанию ключевых клиентов;Ростов;0;75;67,5;0;0,84
Овчинников Семён Игоревич;Группа 2;9/1/22;Специалист;Вологда;0;61;54,9;0;0,94
Морозов Виталий Иосифович;Группа 34;9/1/22;Младший специалист;Чита;0;183;63;0;0,64
Мамонтов Вениамин Артемович;Группа 33;9/1/22;Младший специалист;Чита;0;129;116,1;12,9;0,68
Никонов Никандр Аркадьевич;Группа 5;9/1/22;Младший специалист;Вологда;0;147;92;43;0,87
Ковалёв Леонид Кириллович;Группа 10;9/1/22;Младший специалист;Брянск;0;144;64;0;0,58
Лихачёв Порфирий Павлович;Группа 37;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;50;45;0;0,56
Силин Трофим Витальевич;Группа 7;9/1/22;Специалист;Брянск;0;96;86,4;0;0,98
Носков Климент Кириллович;Группа 5;9/1/22;Специалист;Вологда;0;170;81;0;0,82
Прохоров Анфим Бедросович;Группа 22;9/1/22;Младший специалист;Пенза;0;66;56;0;0,90
Потапов Конон Владимирович;Группа 34;9/1/22;Младший специалист;Чита;0;167;112;50;0,50
Потапов Корнилий Артемович;Группа 26;9/1/22;Младший специалист;Кемерово;0;181;125;55;0,92
Жданов Зиновий Андреевич;Группа 27;9/1/22;Специалист по обслуживанию ключевых клиентов;Кемерово;0;147;132,3;0;0,92
Емельянов Варсонофий Петрович;Группа 4;9/1/22;Младший специалист;Вологда;32;100;68;0;0,66
Королёв Павел Константинович;Группа 14;9/1/22;Специалист по обслуживанию ключевых клиентов;Ростов;0;81;72,9;0;0,79
Попов Степан Анатольевич;Группа 9;9/1/22;Специалист по обслуживанию ключевых клиентов;Брянск;0;150;50;0;0,88
Сидоров Пафнутий Ильич;Группа 35;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;149;31;0;0,79
Шилов Алексей Яковлевич;Группа 4;9/1/22;Специалист по обслуживанию ключевых клиентов;Вологда;0;40;36;0;0,50
Блохин Анатолий Алексеевич;Группа 36;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;90;81;0;0,89
Степанов Леонид Федорович;Группа 1;9/1/22;Младший специалист;Вологда;0;91;81,9;0;0,51
Лихачёв Тарас Александрович;Группа 4;9/1/22;Специалист;Вологда;63;120;57;0;0,59
Колесников Фока Степанович;Группа 37;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;52;122;70;0;0,88
Моисеев Кирилл Валентинович;Группа 22;9/1/22;Специалист по обслуживанию ключевых клиентов;Пенза;0;137;123,3;0;0,60
Семёнов Изот Бедросович;Группа 38;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;129;116,1;0;0,97
Фролов Ефрем Егорович;Группа 26;9/1/22;Специалист;Кемерово;0;93;73;20;0,79
Игнатов Сергей Филиппович;Группа 30;9/1/22;Младший специалист;Чита;0;70;63;0;0,84
Кузьмин Дорофей Денисович;Группа 34;9/1/22;Специалист;Чита;38;80;42;0;0,58
Ефимов Аркадий Андреевич;Группа 12;9/1/22;Специалист по обслуживанию ключевых клиентов;Ростов;35;64;29;0;0,68
Ершов Урбан Георгиевич;Группа 37;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;92;91;0;0,71
Панфилов Ефрем Степанович;Группа 17;9/1/22;Специалист;Пенза;0;166;23;53;0,56
Кудрявцев Тихон Исаакович;Группа 3;9/1/22;Специалист;Вологда;32;166;74;60;0,93
Лукин Евдоким Робертович;Группа 39;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;34;79;45;0;0,78
Миронов Кондрат Игнатьевич;Группа 31;9/1/22;Специалист по обслуживанию ключевых клиентов;Чита;0;128;110;0;0,81
Гришин Платон Ефимович;Группа 38;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;64;57,6;0;0,90
Копылов Руслан Александрович;Группа 3;9/1/22;Специалист по обслуживанию ключевых клиентов;Вологда;67;142;25;50;0,78
Горбачёв Леонид Данилович;Группа 2;9/1/22;Специалист по обслуживанию ключевых клиентов;Вологда;40;161;121;0;0,74
Давыдов Денис Максимович;Группа 18;9/1/22;Младший специалист;Пенза;0;63;56,7;0;0,90
Гордеев Данакт Олегович;Группа 22;9/1/22;Специалист;Пенза;0;110;99;0;0,53
Фролов Прокопий Робертович;Группа 2;9/1/22;Специалист по обслуживанию ключевых клиентов;Вологда;0;148;128;0;0,69
Константинов Александр Исаакович;Группа 1;9/1/22;Младший специалист;Вологда;0;79;77;0;0,81
Колесников Донат Бедросович;Группа 38;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;169;159;0;0,98
Морозов Викентий Феликсович;Группа 11;9/1/22;Специалист;Брянск;0;171;143;28;0,88
Кабанов Никандр Артемович;Группа 4;9/1/22;Специалист;Вологда;0;97;87,3;0;0,59
Терентьев Фирс Павлович;Группа 4;9/1/22;Специалист по обслуживанию ключевых клиентов;Вологда;42;56;14;0;0,82
Шубин Святослав Сергеевич;Группа 18;9/1/22;Специалист;Пенза;32;159;127;0;0,86
Устинов Христофор Львович;Группа 10;9/1/22;Младший специалист;Брянск;0;70;44;26;0,89
Костин Лука Олегович;Группа 3;9/1/22;Специалист по обслуживанию ключевых клиентов;Вологда;0;54;48,6;0;0,89
Субботин Станислав Григорьевич;Группа 13;9/1/22;Младший специалист;Ростов;0;95;85,5;0;0,60
Корнилов Роман Егорович;Группа 23;9/1/22;Младший специалист;Пенза;0;49;44,1;0;0,85
Копылов Никон Вольфович;Группа 25;9/1/22;Специалист по обслуживанию ключевых клиентов;Кемерово;0;59;32;0;0,56
Крылов Мелентий Олегович;Группа 36;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;179;74;0;0,83
Гусев Савва Николаевич;Группа 36;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;155;139,5;15,5;0,95
Владимиров Игнатий Леонидович;Группа 8;9/1/22;Младший специалист;Брянск;0;88;79,2;0;0,65
Колесников Архипп Антонович;Группа 30;9/1/22;Младший специалист;Чита;0;186;162;0;0,81
Савин Владимир Юрьевич;Группа 28;9/1/22;Младший специалист;Кемерово;0;111;99,9;0;0,90
Давыдов Евграф Валерьевич;Группа 34;9/1/22;Специалист по обслуживанию ключевых клиентов;Чита;0;171;20;45;0,85
Мартынов Акиндин Егорович;Группа 15;9/1/22;Специалист по обслуживанию ключевых клиентов;Ростов;0;37;33,3;0;0,77
Логинов Парфений Тимофеевич;Группа 1;9/1/22;Младший специалист;Вологда;0;112;100,8;0;0,77
Беляев Куприян Викторович;Группа 24;9/1/22;Младший специалист;Кемерово;38;52;14;0;0,55
Елисеев Фаддей Станиславович;Группа 31;9/1/22;Специалист по обслуживанию ключевых клиентов;Чита;0;58;52,2;0;0,89
Медведев Герман Егорович;Группа 22;9/1/22;Специалист по обслуживанию ключевых клиентов;Пенза;0;166;159;0;0,99
Васильев Станислав Антонович;Группа 20;9/1/22;Специалист по обслуживанию ключевых клиентов;Пенза;0;174;131;43;0,59
Максимов Иуда Исаакович;Группа 29;9/1/22;Специалист;Кемерово;66;165;99;0;0,77
Комаров Влас Филиппович;Группа 38;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;40;18;22;0,63
Богданов Владлен Семенович;Группа 32;9/1/22;Специалист по обслуживанию ключевых клиентов;Чита;64;157;41;52;1,00
Поляков Трифон Петрович;Группа 26;9/1/22;Специалист;Кемерово;0;98;88,2;0;0,85
Мясников Ираклий Филиппович;Группа 25;9/1/22;Младший специалист;Кемерово;0;83;74,7;0;0,62
Кононов Владимир Сергеевич;Группа 16;9/1/22;Специалист;Ростов;0;139;125,1;0;0,94
Суворов Кир Иванович;Группа 32;9/1/22;Специалист;Чита;0;123;31;0;0,99
Гусев Варфоломей Станиславович;Группа 30;9/1/22;Специалист;Чита;0;115;29;0;0,56
Панфилов Мартын Романович;Группа 20;9/1/22;Специалист по обслуживанию ключевых клиентов;Пенза;42;122;25;55;0,95
Савин Владислав Сергеевич;Группа 4;9/1/22;Специалист;Вологда;0;38;34,2;0;0,76
Миронов Геннадий Сергеевич;Группа 31;9/1/22;Младший специалист;Чита;0;180;47;54;0,59
Кулагин Федот Васильевич;Группа 18;9/1/22;Специалист по обслуживанию ключевых клиентов;Пенза;0;61;54,9;0;1,00
Блохин Герман Исаакович;Группа 31;9/1/22;Специалист;Чита;0;155;139,5;15,5;0,50
Потапов Агафон Валерьевич;Группа 9;9/1/22;Специалист по обслуживанию ключевых клиентов;Брянск;0;162;31;0;0,62
Архипов Ерофей Владимирович;Группа 26;9/1/22;Младший специалист;Кемерово;0;109;98,1;10,9;0,87
Калинин Филат Борисович;Группа 30;9/1/22;Специалист;Чита;56;121;65;0;0,70
Никитин Артур Николаевич;Группа 21;9/1/22;Специалист;Пенза;0;43;38,7;0;0,69
Шубин Фаддей Степанович;Группа 15;9/1/22;Младший специалист;Ростов;0;147;146;0;0,80
Мясников Иулиан Данилович;Группа 12;9/1/22;Специалист;Ростов;0;45;40,5;0;0,69
Федотов Созон Николаевич;Группа 28;9/1/22;Младший специалист;Кемерово;0;55;49,5;0;0,62
Петухов Акиндин Александрович;Группа 18;9/1/22;Младший специалист;Пенза;46;121;75;0;1,00
Игнатьев Владлен Егорович;Группа 18;9/1/22;Специалист по обслуживанию ключевых клиентов;Пенза;0;106;95,4;10,6;0,94
Гаврилов Родион Валентинович;Группа 32;9/1/22;Специалист;Чита;0;69;55;14;0,54
Голубев Фока Тарасович;Группа 27;9/1/22;Младший специалист;Кемерово;0;64;57,6;0;0,51
Игнатов Ким Яковлевич;Группа 3;9/1/22;Младший специалист;Вологда;67;141;74;0;0,67
Суханов Никандр Данилович;Группа 12;9/1/22;Специалист по обслуживанию ключевых клиентов;Ростов;0;172;93;0;0,53
Королёв Никифор Дмитриевич;Группа 12;9/1/22;Специалист;Ростов;0;121;108,9;12,1;0,84
Мишин Кир Игоревич;Группа 11;9/1/22;Младший специалист;Брянск;0;173;34;65;0,67
Тихонов Фома Иванович;Группа 20;9/1/22;Специалист;Пенза;0;74;66,6;0;0,93
Кузнецов Лука Иосифович;Группа 31;9/1/22;Специалист по обслуживанию ключевых клиентов;Чита;34;150;54;62;0,85
Рыбаков Изот Вячеславович;Группа 12;9/1/22;Младший специалист;Ростов;0;179;119;51;0,50
Федотов Исидор Филиппович;Группа 23;9/1/22;Младший специалист;Пенза;0;115;77;38;0,67
Кузнецов Фирс Тарасович;Группа 10;9/1/22;Специалист;Брянск;0;133;58;0;0,81
Горшков Анатолий Артемович;Группа 22;9/1/22;Специалист;Пенза;0;156;53;0;0,93
Ефимов Венедикт Максимович;Группа 31;9/1/22;Младший специалист;Чита;64;180;66;50;0,73
Евдокимов Трофим Федорович;Группа 39;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;156;75;56;0,80
Костин Ириней Иванович;Группа 31;9/1/22;Специалист по обслуживанию ключевых клиентов;Чита;0;140;126;0;0,66
Самойлов Фёдор Богданович;Группа 34;9/1/22;Младший специалист;Чита;0;56;43;0;0,51
Евдокимов Руслан Леонидович;Группа 30;9/1/22;Младший специалист;Чита;0;118;38;0;0,55
Рыбаков Тихон Владимирович;Группа 13;9/1/22;Младший специалист;Ростов;0;84;75,6;0;0,63
Лихачёв Никандр Бедросович;Группа 28;9/1/22;Специалист по обслуживанию ключевых клиентов;Кемерово;46;118;11;61;0,89
Кондратьев Анфим Михайлович;Группа 3;9/1/22;Специалист по обслуживанию ключевых клиентов;Вологда;58;154;96;0;0,82
Зайцев Онисим Викторович;Группа 19;9/1/22;Специалист по обслуживанию ключевых клиентов;Пенза;0;151;145;0;0,97
Зайцев Артём Матвеевич;Группа 5;9/1/22;Специалист по обслуживанию ключевых клиентов;Вологда;0;169;83;0;0,91
Соловьёв Федосей Константинович;Группа 31;9/1/22;Специалист;Чита;0;81;72,9;0;0,57
Буров Глеб Тимофеевич;Группа 34;9/1/22;Специалист по обслуживанию ключевых клиентов;Чита;0;77;69,3;0;0,89
Ермаков Назар Вольфович;Группа 21;9/1/22;Специалист по обслуживанию ключевых клиентов;Пенза;0;181;161;0;0,60
Громов Никифор Станиславович;Группа 4;9/1/22;Младший специалист;Вологда;0;72;64,8;0;0,89
Рогов Григорий Игнатьевич;Группа 34;9/1/22;Младший специалист;Чита;0;115;29;0;0,74
Михайлов Афанасий Максимович;Группа 32;9/1/22;Специалист;Чита;0;41;26;0;0,82
Жданов Тимофей Тарасович;Группа 12;9/1/22;Младший специалист;Ростов;53;85;32;0;0,55
Филиппов Пафнутий Игнатьевич;Группа 31;9/1/22;Специалист по обслуживанию ключевых клиентов;Чита;34;102;20;48;0,76
Давыдов Лукий Евгеньевич;Группа 21;9/1/22;Младший специалист;Пенза;0;90;81;0;0,70
Соколов Тихон Платонович;Группа 5;9/1/22;Специалист по обслуживанию ключевых клиентов;Вологда;0;187;110;0;0,64
Капустин Георгий Эдуардович;Группа 39;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;96;12;0;0,58
Лаврентьев Прокопий Тарасович;Группа 21;9/1/22;Специалист;Пенза;0;68;61,2;0;1,00
Горбачёв Леонид Богданович;Группа 21;9/1/22;Специалист по обслуживанию ключевых клиентов;Пенза;0;133;119,7;0;0,96
Романов Серафим Семенович;Группа 20;9/1/22;Младший специалист;Пенза;0;53;47,7;0;0,78
Соловьёв Владлен Игоревич;Группа 14;9/1/22;Младший специалист;Ростов;0;170;138;32;0,89
Воронов Павел Павлович;Группа 31;9/1/22;Младший специалист;Чита;0;48;24;0;0,94
Фёдоров Акиндин Аркадьевич;Группа 6;9/1/22;Младший специалист;Брянск;0;151;135,9;0;0,68
Костин Назар Николаевич;Группа 2;9/1/22;Специалист по обслуживанию ключевых клиентов;Вологда;0;152;136;0;0,66
Ларионов Агафон Владиславович;Группа 33;9/1/22;Младший специалист;Чита;0;153;143;0;0,63
Никитин Аристарх Иваныч;Группа 37;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;93;57;36;0,58
Баранов Мартын Игоревич;Группа 34;9/1/22;Младший специалист;Чита;0;117;71;46;1,00
Николаев Авдей Игнатьевич;Группа 10;9/1/22;Специалист;Брянск;0;72;64,8;0;0,97
Селиверстов Конон Георгиевич;Группа 1;9/1/22;Младший специалист;Вологда;0;97;74;23;0,82
Беляков Гавриил Эдуардович;Группа 14;9/1/22;Специалист;Ростов;0;147;29;0;0,58
Фомичёв Капитон Львович;Группа 21;9/1/22;Специалист;Пенза;0;162;17;45;0,60
Дементьев Павел Дмитриевич;Группа 30;9/1/22;Специалист;Чита;0;108;18;0;0,58
Дементьев Архипп Денисович;Группа 24;9/1/22;Специалист по обслуживанию ключевых клиентов;Кемерово;0;92;22;0;0,56
Блохин Александр Ильич;Группа 28;9/1/22;Младший специалист;Кемерово;0;175;115;59;0,70
Кузьмин Анфим Бедросович;Группа 20;9/1/22;Специалист;Пенза;0;109;39;42;0,93
Русаков Варфоломей Дмитриевич;Группа 30;9/1/22;Младший специалист;Чита;0;96;90;0;0,71
Рябов Добрыня Федорович;Группа 9;9/1/22;Специалист по обслуживанию ключевых клиентов;Брянск;0;120;111;0;0,53
Ильин Авдей Александрович;Группа 1;9/1/22;Специалист по обслуживанию ключевых клиентов;Вологда;0;71;60;11;0,54
Ширяев Куприян Игнатьевич;Группа 8;9/1/22;Специалист по обслуживанию ключевых клиентов;Брянск;0;77;69;0;0,63
Некрасов Ким Витальевич;Группа 10;9/1/22;Младший специалист;Брянск;0;47;34;0;0,97
Лаврентьев Лев Егорович;Группа 39;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;62;162;100;0;0,65
Лебедев Андрей Константинович;Группа 12;9/1/22;Младший специалист;Ростов;0;135;43;0;0,95
Ермаков Пров Георгиевич;Группа 18;9/1/22;Специалист по обслуживанию ключевых клиентов;Пенза;0;70;63;0;0,79
Тарасов Варфоломей Богданович;Группа 9;9/1/22;Специалист по обслуживанию ключевых клиентов;Брянск;0;128;115,2;0;0,57
Карпов Варлам Алексеевич;Группа 37;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;161;108;53;0,99
Куликов Лев Георгиевич;Группа 23;9/1/22;Младший специалист;Пенза;59;110;51;0;0,56
Мишин Вавила Михайлович;Группа 32;9/1/22;Младший специалист;Чита;0;124;111,6;0;0,70
Калашников Ерофей Игоревич;Группа 10;9/1/22;Специалист;Брянск;0;40;36;0;0,89
Большаков Аркадий Витальевич;Группа 39;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;105;94,5;0;0,51
Козлов Никон Робертович;Группа 13;9/1/22;Специалист;Ростов;67;186;119;0;0,83
Суханов Артур Филиппович;Группа 28;9/1/22;Специалист по обслуживанию ключевых клиентов;Кемерово;0;181;34;0;0,68
Поляков Пантелеймон Иваныч;Группа 9;9/1/22;Специалист по обслуживанию ключевых клиентов;Брянск;0;42;37,8;0;0,57
Максимов Авдей Юрьевич;Группа 24;9/1/22;Специалист;Кемерово;0;110;37;0;0,73
Рябов Фока Григорьевич;Группа 13;9/1/22;Специалист по обслуживанию ключевых клиентов;Ростов;0;171;91;0;0,94
Красильников Филат Эдуардович;Группа 39;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;92;82,8;0;0,86
Казаков Порфирий Николаевич;Группа 8;9/1/22;Младший специалист;Брянск;0;54;10;44;0,75
Лукин Лаврентий Филиппович;Группа 37;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;78;61;0;0,62
Кузнецов Кузьма Матвеевич;Группа 25;9/1/22;Младший специалист;Кемерово;0;44;39,6;0;0,72
Константинов Фома Валерьевич;Группа 25;9/1/22;Специалист;Кемерово;0;53;47,7;0;0,82
Назаров Сергей Львович;Группа 36;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;35;31,5;0;0,62
Щукин Урбан Витальевич;Группа 5;9/1/22;Младший специалист;Вологда;0;79;71,1;0;0,63
Субботин Иван Васильевич;Группа 21;9/1/22;Специалист по обслуживанию ключевых клиентов;Пенза;0;169;164;0;0,94
Князев Леонтий Егорович;Группа 10;9/1/22;Специалист;Брянск;0;158;120;38;0,79
Сидоров Вениамин Васильевич;Группа 2;9/1/22;Специалист;Вологда;55;80;25;0;0,53
Фролов Артур Феликсович;Группа 23;9/1/22;Специалист;Пенза;0;135;118;0;0,83
Матвеев Исидор Степанович;Группа 8;9/1/22;Специалист по обслуживанию ключевых клиентов;Брянск;0;80;72;0;0,71
Буров Мстислав Робертович;Группа 6;9/1/22;Специалист;Брянск;0;59;53,1;0;0,77
Субботин Григорий Павлович;Группа 2;9/1/22;Младший специалист;Вологда;37;165;73;55;0,89
Потапов Варсонофий Иванович;Группа 8;9/1/22;Младший специалист;Брянск;0;103;89;0;0,93
Шашков Данакт Анатольевич;Группа 36;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;32;28,8;0;0,87
Самсонов Евграф Витальевич;Группа 10;9/1/22;Младший специалист;Брянск;0;81;72,9;0;0,62
Беляев Никанор Станиславович;Группа 30;9/1/22;Специалист;Чита;47;116;69;0;0,93
Кулагин Агафон Константинович;Группа 13;9/1/22;Специалист;Ростов;46;143;97;0;0,92
Беспалов Богдан Егорович;Группа 28;9/1/22;Младший специалист;Кемерово;0;166;56;0;0,65
